packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,377,373
1,68,406,338
2,132,424,292
3,196,453,257
4,260,482,222
5,324,541,217
6,388,606,218
7,452,671,219
8,516,725,209
9,580,799,219
10,644,858,214
11,708,923,215
12,772,997,225
13,836,1056,220
14,900,1121,221
15,964,1180,216
16,1028,1237,209
17,1092,1314,222
18,1156,1370,214
19,1220,1441,221
20,1284,1500,216
21,1348,1571,223
22,1412,1630,218
23,1476,1701,225
24,1540,1749,209
25,1604,1831,227
26,1668,1884,216
27,1732,1954,222
28,1796,2024,228
29,1860,2083,223
30,1924,2153,229
31,1988,2212,224
32,2052,2276,224
33,2116,2338,222
34,2180,2408,228
35,2244,2467,223
36,2308,2537,229
37,2372,2596,224
38,2436,2666,230
39,2500,2725,225
40,2564,2767,203
41,2628,2853,225
42,2692,2912,220
43,2756,2982,226
44,2820,3041,221
45,2884,3111,227
46,2948,3170,222
47,3012,3240,228
48,3076,3282,206
49,3140,3368,228
50,3204,3427,223
51,3268,3497,229
52,3332,3556,224
53,3396,3626,230
54,3460,3685,225
55,3524,3744,220
56,3588,3808,220
57,3652,3881,229
58,3716,3940,224
59,3780,4005,225
60,3844,4064,220
61,3908,4129,221
62,3972,4197,225
63,4036,4256,220
64,4100,4307,207
65,4164,4392,228
66,4228,4454,226
67,4292,4513,221
68,4356,4584,228
69,4420,4646,226
70,4484,4705,221
71,4548,4776,228
72,4612,4821,209
73,4676,4906,230
74,4740,4968,228
75,4804,5027,223
76,4868,5089,221
77,4932,5164,232
78,4996,5217,221
79,5060,5282,222
80,5124,5327,203
81,5188,5412,224
82,5252,5474,222
83,5316,5549,233
84,5380,5602,222
85,5444,5667,223
86,5508,5729,221
87,5572,5804,232
88,5636,5840,204
89,5700,5920,220
90,5764,5991,227
91,5828,6053,225
92,5892,6112,220
93,5956,6183,227
94,6020,6245,225
95,6084,6304,220
96,6148,6358,210
97,6212,6434,222
98,6276,6504,228
99,6340,6563,223
