packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,377,373
1,516,544,28
2,1028,1050,22
3,1540,1554,14
4,2052,2087,35
5,2564,2593,29
6,3076,3108,32
7,3588,3623,35
8,4100,4129,29
9,4612,4644,32
10,5124,5159,35
11,5636,5648,12
12,6148,6181,33
13,6660,6693,33
14,7172,7205,33
15,7684,7717,33
16,8196,8229,33
17,8708,8741,33
18,9220,9253,33
19,9732,9748,16
20,10244,10272,28
21,10756,10784,28
22,11268,11296,28
23,11780,11808,28
24,12292,12320,28
25,12804,12832,28
26,13316,13344,28
27,13828,13839,11
28,14340,14372,32
29,14852,14884,32
30,15364,15396,32
31,15876,15908,32
32,16388,16420,32
33,16900,16932,32
34,17412,17444,32
35,17924,17939,15
36,18436,18472,36
37,18948,18984,36
38,19460,19496,36
39,19972,20008,36
40,20484,20520,36
41,20996,21032,36
42,21508,21544,36
43,22020,22039,19
44,22532,22563,31
45,23044,23075,31
46,23556,23587,31
47,24068,24099,31
48,24580,24611,31
49,25092,25123,31
50,25604,25635,31
51,26116,26130,14
52,26628,26663,35
53,27140,27175,35
54,27652,27687,35
55,28164,28199,35
56,28676,28711,35
57,29188,29223,35
58,29700,29735,35
59,30212,30230,18
60,30724,30754,30
61,31236,31266,30
62,31748,31778,30
63,32260,32290,30
64,32772,32802,30
65,33284,33314,30
66,33796,33826,30
67,34308,34321,13
68,34820,34854,34
69,35332,35366,34
70,35844,35878,34
71,36356,36390,34
72,36868,36902,34
73,37380,37414,34
74,37892,37926,34
75,38404,38421,17
76,38916,38945,29
77,39428,39457,29
78,39940,39969,29
79,40452,40481,29
80,40964,40993,29
81,41476,41505,29
82,41988,42017,29
83,42500,42512,12
84,43012,43045,33
85,43524,43557,33
86,44036,44069,33
87,44548,44581,33
88,45060,45093,33
89,45572,45605,33
90,46084,46117,33
91,46596,46612,16
92,47108,47136,28
93,47620,47648,28
94,48132,48160,28
95,48644,48672,28
96,49156,49184,28
97,49668,49696,28
98,50180,50208,28
99,50692,50703,11
