packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,377,373
1,260,406,146
2,516,543,27
3,772,786,14
4,1028,1058,30
5,1284,1312,28
6,1540,1575,35
7,1796,1829,33
8,2052,2083,31
9,2308,2337,29
10,2564,2600,36
11,2820,2837,17
12,3076,3109,33
13,3332,3360,28
14,3588,3620,32
15,3844,3880,36
16,4100,4131,31
17,4356,4391,35
18,4612,4642,30
19,4868,4885,17
20,5124,5157,33
21,5380,5408,28
22,5636,5668,32
23,5892,5928,36
24,6148,6179,31
25,6404,6439,35
26,6660,6690,30
27,6916,6933,17
28,7172,7205,33
29,7428,7456,28
30,7684,7716,32
31,7940,7976,36
32,8196,8227,31
33,8452,8487,35
34,8708,8738,30
35,8964,8981,17
36,9220,9253,33
37,9476,9504,28
38,9732,9764,32
39,9988,10024,36
40,10244,10275,31
41,10500,10535,35
42,10756,10786,30
43,11012,11029,17
44,11268,11301,33
45,11524,11552,28
46,11780,11812,32
47,12036,12072,36
48,12292,12323,31
49,12548,12583,35
50,12804,12834,30
51,13060,13077,17
52,13316,13349,33
53,13572,13600,28
54,13828,13860,32
55,14084,14120,36
56,14340,14371,31
57,14596,14631,35
58,14852,14882,30
59,15108,15125,17
60,15364,15397,33
61,15620,15648,28
62,15876,15908,32
63,16132,16168,36
64,16388,16419,31
65,16644,16679,35
66,16900,16930,30
67,17156,17173,17
68,17412,17445,33
69,17668,17696,28
70,17924,17956,32
71,18180,18216,36
72,18436,18467,31
73,18692,18727,35
74,18948,18978,30
75,19204,19221,17
76,19460,19493,33
77,19716,19744,28
78,19972,20004,32
79,20228,20264,36
80,20484,20515,31
81,20740,20775,35
82,20996,21026,30
83,21252,21269,17
84,21508,21541,33
85,21764,21792,28
86,22020,22052,32
87,22276,22312,36
88,22532,22563,31
89,22788,22823,35
90,23044,23074,30
91,23300,23317,17
92,23556,23589,33
93,23812,23840,28
94,24068,24100,32
95,24324,24360,36
96,24580,24611,31
97,24836,24871,35
98,25092,25122,30
99,25348,25365,17
