packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,377,373
1,132,406,274
2,260,424,164
3,388,543,155
4,516,674,158
5,644,796,152
6,772,927,155
7,900,1058,158
8,1028,1180,152
9,1156,1311,155
10,1284,1431,147
11,1412,1568,156
12,1540,1699,159
13,1668,1830,162
14,1796,1952,156
15,1924,2083,159
16,2052,2214,162
17,2180,2336,156
18,2308,2450,142
19,2436,2596,160
20,2564,2724,160
21,2692,2852,160
22,2820,2980,160
23,2948,3108,160
24,3076,3236,160
25,3204,3364,160
26,3332,3475,143
27,3460,3621,161
28,3588,3749,161
29,3716,3877,161
30,3844,4005,161
31,3972,4133,161
32,4100,4261,161
33,4228,4389,161
34,4356,4500,144
35,4484,4646,162
36,4612,4774,162
37,4740,4902,162
38,4868,5030,162
39,4996,5158,162
40,5124,5286,162
41,5252,5414,162
42,5380,5525,145
43,5508,5671,163
44,5636,5799,163
45,5764,5927,163
46,5892,6055,163
47,6020,6183,163
48,6148,6311,163
49,6276,6439,163
50,6404,6550,146
51,6532,6696,164
52,6660,6824,164
53,6788,6952,164
54,6916,7080,164
55,7044,7208,164
56,7172,7336,164
57,7300,7464,164
58,7428,7575,147
59,7556,7712,156
60,7684,7840,156
61,7812,7968,156
62,7940,8096,156
63,8068,8224,156
64,8196,8352,156
65,8324,8480,156
66,8452,8591,139
67,8580,8737,157
68,8708,8865,157
69,8836,8993,157
70,8964,9121,157
71,9092,9249,157
72,9220,9377,157
73,9348,9505,157
74,9476,9616,140
75,9604,9762,158
76,9732,9890,158
77,9860,10018,158
78,9988,10146,158
79,10116,10274,158
80,10244,10402,158
81,10372,10530,158
82,10500,10641,141
83,10628,10787,159
84,10756,10915,159
85,10884,11043,159
86,11012,11171,159
87,11140,11299,159
88,11268,11427,159
89,11396,11555,159
90,11524,11666,142
91,11652,11812,160
92,11780,11940,160
93,11908,12068,160
94,12036,12196,160
95,12164,12324,160
96,12292,12452,160
97,12420,12580,160
98,12548,12691,143
99,12676,12837,161
