packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,377,373
1,2052,2074,22
2,4100,4128,28
3,6148,6162,14
4,8196,8225,29
5,10244,10279,35
6,12292,12324,32
7,14340,14369,29
8,16388,16423,35
9,18436,18468,32
10,20484,20513,29
11,22532,22550,18
12,24580,24613,33
13,26628,26664,36
14,28676,28706,30
15,30724,30757,33
16,32772,32808,36
17,34820,34850,30
18,36868,36901,33
19,38916,38935,19
20,40964,40998,34
21,43012,43040,28
22,45060,45091,31
23,47108,47142,34
24,49156,49184,28
25,51204,51235,31
26,53252,53286,34
27,55300,55311,11
28,57348,57383,35
29,59396,59425,29
30,61444,61476,32
31,63492,63527,35
32,65540,65569,29
33,67588,67620,32
34,69636,69671,35
35,71684,71696,12
36,73732,73768,36
37,75780,75810,30
38,77828,77861,33
39,79876,79912,36
40,81924,81954,30
41,83972,84005,33
42,86020,86056,36
43,88068,88081,13
44,90116,90144,28
45,92164,92195,31
46,94212,94246,34
47,96260,96288,28
48,98308,98339,31
49,100356,100390,34
50,102404,102432,28
51,104452,104466,14
52,106500,106529,29
53,108548,108580,32
54,110596,110631,35
55,112644,112673,29
56,114692,114724,32
57,116740,116775,35
58,118788,118817,29
59,120836,120851,15
60,122884,122914,30
61,124932,124965,33
62,126980,127016,36
63,129028,129058,30
64,131076,131109,33
65,133124,133160,36
66,135172,135202,30
67,137220,137236,16
68,139268,139299,31
69,141316,141350,34
70,143364,143392,28
71,145412,145443,31
72,147460,147494,34
73,149508,149536,28
74,151556,151587,31
75,153604,153621,17
76,155652,155684,32
77,157700,157735,35
78,159748,159777,29
79,161796,161828,32
80,163844,163879,35
81,165892,165921,29
82,167940,167972,32
83,169988,170006,18
84,172036,172069,33
85,174084,174120,36
86,176132,176162,30
87,178180,178213,33
88,180228,180264,36
89,182276,182306,30
90,184324,184357,33
91,186372,186391,19
92,188420,188454,34
93,190468,190496,28
94,192516,192547,31
95,194564,194598,34
96,196612,196640,28
97,198660,198691,31
98,200708,200742,34
99,202756,202767,11
